players
Fazalhaq Farooqi
Richard Gleeson
Matt Henry
Alzarri Joseph
Kwena Maphaka
Kuldeep Sen
Reece Topley
Lizaad Williams
Luke Wood
Sachin Dhas
Leus du Plooy
Ashwin Hebbar
Rohan Kunnummal
Ayush Pandey
Akshat Raghuwanshi
Shoun Roger
Virat Singh
Priyansh Arya
Manoj Bhandage
Praveen Dubey
Ajay Mandal
Prerak Mankad
Vipraj Nigam
Vicky Ostwal
Shivalik Sharma
Salil Arora
Dinesh Bana
Guruswamy Ajitesh
Narayan Jagadeesan
Krishnan Shrijith
Michael Pepper
Vishnu Solanki
KM Asif
Akhil Chaudhary
Himanshu Chauhan
Arpit Guleria
Saranu Nishanth
Kuldip Yadav
Prithvi Raj
Shubham Agarwal
Jasinder Singh
Jasmer Dhankhar
Pulkit Narang
Saumy Pandey
Mohit Rathee
Himanshu Singh
Towhid Hridoy
Mikyle Louis
Harry Tector
Rassie van der Dussen
Will Young
Najibullah Zadran
Ibrahim Zadran
Sean Abbott
Jacob Bethell
Brydon Carse
Aaron Hardie
Sarfaraz Khan
Kyle Mayers
Kamindu Mendis
Matthew Short
Jason Behrendorff
Dushmantha Chameera
Nathan Ellis
Shamar Joseph
Josh Little
Shivam Mavi
Jhye Richardson
Navdeep Saini
Tanmay Agarwal
Amandeep Khare
Ayush Mhatre
Salman Nizar
Aniket Verma
Sumeet Verma
Manan Vohra
Samarth Vyas
Raj Bawa
Emanjot Singh Chahal
Musheer Khan
Manvanth Kumar
Mayank Rawat
Suryansh Shedge
Hrithik Shokeen
Sonu Yadav
Rithik Easwaran
Anmol Malhotra
Pradosh Ranjan Paul
Karteek Sharma
Akash Singh
Khushal Gabhane
Siddarth Yadav
Saurabh Dubey
Aaqib Khan
Kulwant Khejroliya
Ankit Rajpoot
Divesh Sharma
Naman Tiwari
Prince Yadav
Kunal Singh Chibb
Yuvraj Chudasama
Deepak Devadiga
Ramesh Prasad
Shivam Shukla
Himanshu Singh
Tejpreet Singh
Qais Ahmad
Charith Asalanka
Michael Bracewell
Gudakesh Motie
Dan Mousley
Jamie Overton
Dunith Wellalage
Ottneil Baartman
