POS,Player,Runs,Mat,Inns,NO,HS,Avg,BF,SR,100,50,4s,6s
76,Sameer RizviDC,24,2,2,0,20,12.00,19,126.31,0,0,2,1
77,Jofra ArcherRR,21,5,4,1,16,7.00,14,150.00,0,0,0,2
78,Harshal PatelSRH,20,4,3,1,12*,10.00,25,80.00,0,0,0,0
79,Manish PandeyKKR,19,1,1,0,19,19.00,14,135.71,0,0,2,1
80,Harshit RanaKKR,19,5,3,1,10*,9.50,23,82.60,0,0,3,0
81,Rishabh PantLSG,19,5,4,0,15,4.75,32,59.37,0,0,0,1
82,Rashid KhanGT,18,5,2,0,12,9.00,8,225.00,0,0,1,2
83,Andre RussellKKR,17,5,4,0,7,4.25,20,85.00,0,0,2,1
84,Azmatullah OmarzaiPBKS,16,1,1,0,16,16.00,15,106.66,0,0,2,1
85,Sam CurranCSK,12,2,2,0,8,6.00,22,54.54,0,0,0,0
86,Jamie OvertonCSK,11,1,1,1,11*,-,4,275.00,0,0,0,1
87,Ravichandran AshwinCSK,11,5,1,0,11,11.00,8,137.50,0,0,1,0
88,Mohammad ShamiSRH,10,5,4,3,6*,10.00,10,100.00,0,0,1,0
89,Shahbaz AhmedLSG,9,1,1,0,9,9.00,8,112.50,0,0,1,0
90,Wiaan MulderSRH,9,1,1,0,9,9.00,11,81.81,0,0,1,0
91,Shardul ThakurLSG,8,5,3,2,5*,8.00,7,114.28,0,0,1,0
92,Wanindu HasarangaRR,8,3,2,0,4,4.00,9,88.88,0,0,0,0
93,Maheesh TheekshanaRR,8,5,3,2,5,8.00,18,44.44,0,0,0,0
94,Kagiso RabadaGT,7,2,1,1,7*,-,5,140.00,0,0,0,1
95,Deepak HoodaCSK,7,2,2,0,4,3.50,14,50.00,0,0,1,0
96,Sandeep SharmaRR,6,5,1,1,6*,-,5,120.00,0,0,0,0
97,Tushar DeshpandeRR,6,4,3,2,3,6.00,6,100.00,0,0,0,0
98,Abhinav ManoharSRH,6,3,3,0,4,2.00,13,46.15,0,0,0,0
99,Robin MinzMI,6,2,2,0,3,3.00,15,40.00,0,0,0,0
